<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.05.16	6.021	6.356	5.661	5.915	12411	0	0
2017.05.17	5.933	6.063	5.406	5.821	13152	0	0
2017.05.18	5.822	6.496	5.638	6.215	14091	0	0
2017.05.19	6.217	7.446	6.195	7.438	14754	0	0
2017.05.20	7.438	7.577	6.869	7.076	13361	0	0
2017.05.21	7.076	7.302	6.680	6.895	11409	0	0
2017.05.22	6.895	9.109	6.845	8.762	17154	0	0
2017.05.23	8.763	10.243	7.684	9.801	15351	0	0
2017.05.24	9.803	16.869	9.548	14.869	23220	0	0
2017.05.25	14.876	22.315	14.813	17.736	25256	0	0
2017.05.26	17.663	17.959	12.193	14.315	16045	0	0
2017.05.27	14.292	14.889	9.495	13.629	17264	0	0
2017.05.28	13.627	16.161	12.703	13.578	16870	0	0
2017.05.29	13.539	15.869	13.474	15.656	13651	0	0
2017.05.30	15.642	17.270	15.154	16.230	13969	0	0
2017.05.31	16.226	17.338	14.551	15.500	14467	0	0
2017.06.01	15.500	16.434	14.951	15.310	12448	0	0
2017.06.02	15.240	16.075	15.072	15.633	10582	0	0
2017.06.03	15.634	16.108	14.748	15.295	10000	0	0
2017.06.04	15.296	16.921	14.878	16.305	10963	0	0
2017.06.05	16.315	16.773	15.760	16.656	9693	0	0
2017.06.06	16.659	17.242	15.766	16.697	11613	0	0
2017.06.07	16.696	18.244	16.324	17.114	11776	0	0
2017.06.08	17.115	17.246	15.889	16.684	10196	0	0
2017.06.09	16.687	17.427	16.455	16.857	9369	0	0
2017.06.10	16.858	18.096	16.500	16.955	11645	0	0
2017.06.11	16.955	21.719	16.672	21.719	15251	0	0
2017.06.12	21.748	22.534	15.319	17.522	14950	0	0
2017.06.13	17.572	19.830	17.556	19.624	12833	0	0
2017.06.14	19.570	20.221	16.954	17.614	12374	0	0
2017.06.15	17.614	17.710	13.355	16.351	12359	0	0
2017.06.16	16.331	17.039	15.503	16.633	11024	0	0
2017.06.17	16.657	20.131	16.206	19.772	12407	0	0
2017.06.18	19.772	23.037	19.224	19.342	14829	0	0
2017.06.19	19.342	21.795	19.278	21.216	12820	0	0
2017.06.20	21.216	21.380	19.013	20.000	11647	0	0
2017.06.21	19.998	20.899	17.530	17.742	11767	0	0
2017.06.22	17.749	19.271	17.554	18.411	10690	0	0
2017.06.23	18.413	19.816	18.386	19.521	9233	0	0
2017.06.24	19.518	19.603	17.227	17.803	9253	0	0
2017.06.25	17.803	20.850	16.851	18.197	11044	0	0
2017.06.26	18.197	19.239	14.951	15.783	12135	0	0
2017.06.27	15.784	17.923	14.416	17.116	11486	0	0
2017.06.28	17.116	18.314	16.343	18.196	10971	0	0
2017.06.29	18.196	18.388	16.694	17.549	9560	0	0
2017.06.30	17.527	18.000	17.013	17.428	9795	0	0
2017.07.01	17.428	17.483	15.210	15.308	10080	0	0
2017.07.02	15.310	16.742	15.248	16.575	9570	0	0
2017.07.03	16.599	17.404	16.241	16.802	10425	0	0
2017.07.04	16.801	17.805	16.609	16.886	10256	0	0
2017.07.05	16.887	17.181	16.365	17.007	8608	0	0
2017.07.06	17.007	17.360	16.550	16.883	8898	0	0
2017.07.07	16.883	17.370	15.883	15.902	8072	0	0
2017.07.08	15.902	16.062	14.477	15.754	8383	0	0
2017.07.09	15.755	16.532	15.503	15.563	7609	0	0
2017.07.10	15.562	16.480	14.388	14.634	9131	0	0
2017.07.11	14.634	14.897	12.134	13.128	12194	0	0
2017.07.12	13.133	19.181	12.836	18.304	13503	0	0
2017.07.13	18.303	19.271	16.045	16.746	11893	0	0
2017.07.14	16.746	17.625	15.627	15.860	9180	0	0
2017.07.15	15.857	16.772	14.322	14.790	10649	0	0
2017.07.16	14.755	15.193	12.823	13.066	10685	0	0
2017.07.17	13.066	15.251	12.968	14.750	11172	0	0
2017.07.18	14.758	16.159	14.232	15.715	95498	0	0
2017.07.19	15.715	16.190	14.293	14.551	87349	0	0
2017.07.20	14.545	16.238	14.029	16.116	149837	0	0
2017.07.21	16.117	17.613	15.508	15.805	102568	0	0
2017.07.22	15.805	16.762	15.787	16.632	9192	0	0
2017.07.23	16.632	16.971	15.611	16.194	8573	0	0
2017.07.24	16.195	16.334	15.760	15.963	91195	0	0
2017.07.25	15.956	16.096	14.099	14.106	101573	0	0
2017.07.26	14.106	14.846	14.025	14.377	121268	0	0
2017.07.27	14.377	14.710	14.236	14.359	122844	0	0
2017.07.28	14.362	14.640	13.732	14.139	109908	0	0
2017.07.29	14.143	14.222	13.191	13.865	8611	0	0
2017.07.30	13.862	14.447	13.487	13.768	8872	0	0
2017.07.31	13.768	13.954	13.302	13.725	94101	0	0
2017.08.01	13.724	14.774	13.382	14.678	98778	0	0
2017.08.02	14.679	15.240	14.254	14.338	100869	0	0
2017.08.03	14.339	15.384	14.205	15.201	111307	0	0
2017.08.04	15.202	15.318	14.800	14.821	102513	0	0
2017.08.05	14.823	15.896	14.753	15.560	8887	0	0
2017.08.06	15.562	16.128	15.327	15.437	9073	0	0
2017.08.07	15.437	15.614	15.007	15.118	75643	0	0
2017.08.08	15.117	15.491	14.810	15.408	84386	0	0
2017.08.09	15.407	16.190	14.980	15.339	111074	0	0
2017.08.10	15.343	15.568	15.074	15.179	103251	0	0
2017.08.11	15.178	15.364	14.801	14.917	103592	0	0
2017.08.12	14.917	15.207	14.370	14.489	9251	0	0
2017.08.13	14.490	14.569	13.637	13.922	10529	0	0
2017.08.14	13.923	14.423	13.707	13.827	76938	0	0
2017.08.15	13.827	13.957	12.934	13.190	90753	0	0
2017.08.16	13.190	14.284	13.076	13.861	99374	0	0
2017.08.17	13.860	14.122	13.444	13.699	106206	0	0
2017.08.18	13.700	14.258	13.215	13.242	94975	0	0
2017.08.19	13.241	13.884	12.905	13.473	7467	0	0
2017.08.20	13.445	14.074	13.179	13.824	6904	0	0
2017.08.21	13.827	14.836	13.611	14.419	67355	0	0
2017.08.22	14.419	15.038	13.238	14.214	76996	0	0
2017.08.23	14.215	16.545	14.010	15.251	93515	0	0
2017.08.24	15.249	15.868	14.992	15.142	87749	0	0
2017.08.25	15.139	15.379	14.861	15.000	132292	0	0
2017.08.26	15.001	15.234	14.776	15.160	6559	0	0
2017.08.27	15.160	16.209	15.000	16.201	7889	0	0
2017.08.28	16.201	16.261	15.383	15.574	82773	0	0
2017.08.29	15.574	15.997	15.449	15.821	143142	0	0
2017.08.30	15.821	15.968	15.639	15.733	119070	0	0
2017.08.31	15.734	16.484	15.672	16.334	126999	0	0
2017.09.01	16.319	21.634	16.262	21.194	173529	0	0
2017.09.02	21.194	24.083	18.175	18.392	14131	0	0
2017.09.03	18.393	20.676	17.908	19.068	9564	0	0
2017.09.04	19.068	19.421	15.687	16.887	93600	0	0
2017.09.05	16.850	17.354	15.080	16.945	130509	0	0
2017.09.06	16.966	18.620	16.675	18.344	135223	0	0
2017.09.07	18.348	19.210	17.907	18.008	174573	0	0
2017.09.08	18.009	18.555	15.033	16.131	41634	0	180
2017.09.11	15.594	15.884	14.576	15.031	34813	0	180
2017.09.12	15.033	16.045	14.547	14.775	57850	0	0
2017.09.13	14.774	15.102	13.284	14.165	32254	0	180
2017.09.14	14.166	14.373	10.808	11.203	26925	0	180
2017.09.15	11.203	11.932	8.216	11.658	19777	0	180
2017.09.18	11.149	12.069	10.786	11.620	31039	0	180
2017.09.19	11.753	12.140	11.080	11.146	33778	0	180
2017.09.20	11.148	11.619	10.914	11.318	68491	0	180
2017.09.21	11.314	11.456	9.746	9.939	38004	0	180
2017.09.22	9.956	10.480	9.564	9.862	44187	0	180
2017.09.25	10.302	11.044	10.132	10.769	35585	0	180
2017.09.26	10.770	12.073	10.601	11.640	36890	0	180
2017.09.27	11.615	13.213	11.329	12.837	29418	0	180
2017.09.28	12.837	13.830	12.607	12.774	26691	0	180
2017.09.29	12.774	13.638	11.999	12.693	30189	0	180
2017.10.02	12.670	12.889	12.285	12.326	34034	0	180
2017.10.03	12.367	12.421	11.650	11.827	38493	0	180
2017.10.04	11.827	12.284	11.716	11.723	33066	0	180
2017.10.05	11.723	11.968	11.346	11.866	30070	0	180
2017.10.06	11.906	12.310	11.720	11.990	33947	0	180
2017.10.09	12.208	12.210	10.779	11.128	23792	0	180
2017.10.10	11.128	11.596	10.931	11.419	33829	0	180
2017.10.11	11.418	11.518	11.177	11.277	36580	0	180
2017.10.12	11.277	11.843	11.237	11.531	41380	0	180
2017.10.13	11.536	12.298	11.157	12.032	30119	0	180
2017.10.16	11.593	12.086	11.593	11.767	35697	0	180
2017.10.17	11.768	12.367	11.545	11.677	37062	0	180
2017.10.18	11.676	11.793	10.493	11.169	28555	0	180
2017.10.19	11.130	11.408	11.036	11.113	44458	0	180
2017.10.20	11.146	11.321	10.985	11.056	55970	0	180
2017.10.23	10.499	10.578	9.535	10.052	27906	0	180
2017.10.24	10.052	10.870	9.467	10.466	32889	0	180
2017.10.25	10.466	10.494	9.979	10.337	31660	0	180
2017.10.26	10.336	10.546	10.149	10.265	42025	0	180
2017.10.27	10.266	10.420	10.078	10.168	45719	0	180
2017.10.30	10.770	10.885	10.600	10.666	39787	0	180
2017.10.31	10.667	10.788	10.433	10.459	20628	0	180
2017.11.01	10.460	10.510	10.210	10.219	20140	0	180
2017.11.02	10.221	10.251	9.174	9.801	15497	0	180
2017.11.03	9.801	12.305	9.700	11.214	14587	0	180
2017.11.06	13.067	15.121	12.885	14.475	13302	0	180
2017.11.07	14.490	14.589	13.028	13.315	17163	0	180
2017.11.08	13.314	13.995	12.983	13.592	15747	0	180
2017.11.09	13.592	14.420	13.482	13.852	20141	0	180
2017.11.10	13.851	15.253	13.357	14.320	13995	0	180
2017.11.13	14.891	16.224	13.844	15.304	14451	0	180
2017.11.14	15.304	18.310	15.296	16.995	16319	0	180
2017.11.15	17.019	17.735	16.473	16.668	18761	0	180
2017.11.16	16.669	17.130	15.975	16.666	19691	0	180
2017.11.17	16.682	17.447	16.226	16.962	17614	0	180
2017.11.20	17.748	18.801	17.692	18.602	24278	0	180
2017.11.21	18.603	18.675	17.000	17.817	19534	0	180
2017.11.22	17.819	17.947	17.453	17.805	19018	0	180
2017.11.23	17.805	18.692	17.503	18.375	15517	0	180
2017.11.24	18.375	20.367	17.493	19.976	17826	0	180
2017.11.27	21.450	25.746	20.670	25.463	16126	0	180
2017.11.28	25.464	32.883	24.390	31.179	18100	0	180
2017.11.29	31.179	32.229	21.651	25.730	19319	0	180
2017.11.30	25.610	26.990	21.386	25.677	19020	0	201
2017.12.01	25.677	29.758	23.941	29.574	21419	0	201
2017.12.04	28.105	29.454	27.428	28.844	25000	0	203
2017.12.05	28.844	29.170	27.559	28.471	21452	0	205
2017.12.06	28.471	28.991	25.252	25.356	19535	0	201
2017.12.07	25.355	27.712	22.960	24.299	19600	0	201
2017.12.08	24.302	26.413	21.862	25.866	19456	0	201
2017.12.11	25.072	28.352	24.583	26.401	17301	0	201
2017.12.12	26.401	31.560	25.690	26.755	17142	0	201
2017.12.13	26.756	33.493	24.433	26.574	17850	0	480
2017.12.14	26.569	32.678	26.461	30.481	19129	0	480
2017.12.15	30.481	31.813	24.276	29.908	18857	0	480
2017.12.18	33.842	39.200	28.184	35.868	19662	0	480
2017.12.19	35.868	41.994	32.094	32.288	19939	0	480
2017.12.20	32.288	40.779	30.570	35.358	17644	0	480
2017.12.21	35.172	41.617	30.826	32.886	17985	0	480
2017.12.22	32.886	37.667	18.217	25.484	21165	0	480
2017.12.25	25.732	29.086	22.610	24.846	10244	0	480
2017.12.26	24.847	30.137	24.454	26.210	15347	0	480
2017.12.27	26.210	30.393	24.426	25.278	17615	0	480
2017.12.28	25.279	28.627	21.847	22.836	18273	0	480
2017.12.29	22.850	28.411	22.771	23.731	16931	0	480
2018.01.01	25.935	30.699	21.910	27.235	11774	0	480
2018.01.02	30.264	33.658	25.801	31.441	19155	0	480
2018.01.03	31.442	32.262	26.800	31.555	17239	0	480
2018.01.04	31.559	36.511	27.400	31.018	17588	0	480
2018.01.05	34.041	34.955	27.838	31.435	18436	0	480
2018.01.08	31.728	37.659	24.577	31.103	18823	0	480
2018.01.09	31.103	36.708	27.808	33.037	17779	0	480
2018.01.10	32.982	37.974	30.326	33.873	18807	0	480
2018.01.11	33.873	37.148	26.967	29.571	19909	0	480
2018.01.12	29.571	34.768	27.800	32.031	20937	0	480
2018.01.15	40.011	42.995	36.973	38.488	21939	0	480
2018.01.16	38.228	41.248	22.093	22.198	19766	0	480
2018.01.17	22.210	29.038	18.722	26.682	26567	0	920
2018.01.18	26.669	31.936	24.114	26.683	19701	0	920
2018.01.19	29.817	33.355	25.009	30.743	19924	0	920
2018.01.22	25.948	32.165	23.133	23.656	18757	0	920
2018.01.23	23.656	29.596	22.800	25.815	19438	0	920
2018.01.24	25.815	29.515	24.578	26.197	24670	0	920
2018.01.25	26.196	29.814	25.350	25.827	33563	0	920
2018.01.26	25.827	28.952	23.252	24.860	22875	0	920
2018.01.29	29.477	32.739	27.121	27.857	25123	0	920
2018.01.30	27.857	30.811	23.461	24.195	26078	0	920
2018.01.31	26.913	27.781	22.776	24.240	28018	0	920
2018.02.01	27.040	28.356	20.592	21.991	24424	0	920
2018.02.02	21.994	24.842	15.425	21.726	20055	0	920
2018.02.05	17.189	20.896	12.434	13.834	21538	0	920
2018.02.06	13.921	18.819	10.739	18.571	19225	0	920
2018.02.07	18.570	19.892	14.186	16.157	21555	0	920
2018.02.08	16.157	21.435	14.835	18.009	23617	0	920
2018.02.09	18.009	25.594	17.551	21.610	22113	0	920
2018.02.12	24.866	28.989	20.374	25.989	18724	0	920
