<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2014.12.21	324.880	328.500	314.170	316.770	8273	0	0
2014.12.22	315.940	332.030	314.950	328.170	6998	0	0
2014.12.23	328.170	334.470	326.100	330.000	6048	0	0
2014.12.24	329.980	330.910	317.820	317.970	4772	0	0
2014.12.25	318.000	320.960	315.390	317.300	5185	0	0
2014.12.26	317.300	328.700	314.700	326.150	5559	0	0
2014.12.27	326.500	326.620	308.000	312.020	6037	0	0
2014.12.28	312.030	316.440	307.070	311.710	6079	0	0
2014.12.29	311.780	317.000	310.100	311.000	6442	0	0
2014.12.30	311.020	313.800	307.500	309.700	5735	0	0
2014.12.31	309.660	315.000	307.430	313.500	5257	0	0
2015.01.01	313.500	318.100	312.250	312.250	3438	0	0
2015.01.02	312.250	315.390	310.970	312.720	3813	0	0
2015.01.03	312.720	313.500	285.600	289.830	10676	0	0
2015.01.04	289.680	293.560	260.000	266.230	14678	0	0
2015.01.05	266.220	279.500	262.000	268.320	10726	0	0
2015.01.06	268.550	285.580	268.550	284.520	8361	0	0
2015.01.07	284.520	301.020	281.270	291.890	8599	0	0
2015.01.08	291.890	294.900	282.490	288.000	7965	0	0
2015.01.09	288.000	291.500	278.280	287.910	6834	0	0
2015.01.10	286.340	286.340	268.850	271.990	10178	0	0
2015.01.11	271.990	278.270	260.170	263.140	9775	0	0
2015.01.12	263.140	269.500	258.210	265.270	11322	0	0
2015.01.13	265.240	266.920	221.570	231.000	17508	0	0
2015.01.14	230.790	231.940	168.970	174.600	27812	0	0
2015.01.15	174.590	226.010	162.680	201.360	26788	0	0
2015.01.16	201.370	219.770	196.000	204.880	18810	0	0
2015.01.17	204.880	211.510	193.940	197.100	13186	0	0
2015.01.18	197.100	217.010	192.570	204.000	14079	0	0
2015.01.19	204.000	215.100	203.850	211.920	11632	0	0
2015.01.20	212.440	212.440	203.590	207.980	8508	0	0
2015.01.21	207.970	223.460	207.420	222.500	8564	0	0
2015.01.22	222.860	233.860	219.050	227.500	12537	0	0
2015.01.23	227.500	230.510	221.010	229.870	7668	0	0
2015.01.24	229.870	247.220	225.800	238.370	11586	0	0
2015.01.25	238.370	253.880	238.330	246.990	13470	0	0
2015.01.26	246.990	303.300	246.030	264.790	23192	0	0
2015.01.27	264.080	267.000	241.090	252.000	15805	0	0
2015.01.28	252.020	255.370	214.300	219.110	12745	0	0
2015.01.29	219.340	233.520	212.200	227.040	14301	0	0
2015.01.30	227.040	235.000	218.850	221.210	10713	0	0
2015.01.31	221.210	227.090	216.700	218.750	9186	0	0
2015.02.01	218.730	226.710	208.010	225.280	12717	0	0
2015.02.02	225.120	226.840	218.270	221.680	10530	0	0
2015.02.03	221.720	240.440	220.680	222.560	15769	0	0
2015.02.04	222.560	227.260	218.000	223.250	9990	0	0
2015.02.05	222.670	225.000	212.120	215.670	7334	0	0
2015.02.06	215.630	223.000	213.240	219.640	7744	0	0
2015.02.07	219.630	225.910	216.990	224.010	7710	0	0
2015.02.08	224.030	226.800	218.000	220.630	4948	0	0
2015.02.09	220.450	222.300	213.980	220.990	6887	0	0
2015.02.10	220.890	221.280	213.190	217.450	7260	0	0
2015.02.11	216.750	220.970	214.860	215.380	4649	0	0
2015.02.12	215.300	218.500	214.390	218.050	3306	0	0
2015.02.13	218.050	235.950	216.610	231.020	9472	0	0
2015.02.14	231.020	255.010	230.100	252.000	9684	0	0
2015.02.15	252.000	265.010	221.750	229.390	13515	0	0
2015.02.16	229.000	237.370	224.430	232.980	10199	0	0
2015.02.17	232.980	243.000	229.870	237.650	8507	0	0
2015.02.18	237.530	241.470	228.330	230.060	6991	0	0
2015.02.19	230.090	238.980	230.000	236.100	5941	0	0
2015.02.20	236.100	241.420	231.870	237.790	8478	0	0
2015.02.21	237.790	238.990	235.900	237.400	4515	0	0
2015.02.22	237.680	238.960	226.240	229.230	5790	0	0
2015.02.23	229.120	233.940	224.980	233.230	6702	0	0
2015.02.24	233.230	233.990	227.780	231.890	5836	0	0
2015.02.25	232.100	232.820	228.900	231.010	4493	0	0
2015.02.26	231.010	232.140	228.120	230.600	4571	0	0
2015.02.27	230.540	252.200	230.540	249.040	9988	0	0
2015.02.28	249.040	249.820	243.680	247.550	5601	0	0
2015.03.01	247.550	254.160	238.000	252.080	5956	0	0
2015.03.02	252.200	268.520	247.930	266.340	10455	0	0
2015.03.03	266.400	283.000	262.080	279.520	10194	0	0
2015.03.04	279.520	280.450	261.500	265.000	9494	0	0
2015.03.05	265.000	276.030	259.000	273.000	13450	0	0
2015.03.06	273.490	275.310	266.220	270.630	6922	0	0
2015.03.07	270.500	275.000	267.020	272.200	5222	0	0
2015.03.08	272.200	276.020	270.180	271.660	3910	0	0
2015.03.09	271.660	289.900	270.310	286.730	7805	0	0
2015.03.10	286.730	299.000	284.480	290.940	9111	0	0
2015.03.11	290.930	294.490	285.650	291.930	7650	0	0
2015.03.12	292.000	295.000	290.120	292.000	4778	0	0
2015.03.13	292.000	292.610	285.000	285.800	5555	0	0
2015.03.14	285.800	287.090	274.200	275.550	9893	0	0
2015.03.15	275.330	281.810	274.830	280.730	5665	0	0
2015.03.16	280.730	290.970	279.400	287.500	6847	0	0
2015.03.17	286.800	289.300	281.580	283.970	4676	0	0
2015.03.18	284.030	284.030	255.040	256.000	9736	0	0
2015.03.19	256.000	260.000	243.000	252.700	12321	0	0
2015.03.20	252.910	260.900	252.700	256.610	7240	0	0
2015.03.21	256.610	263.500	251.980	257.240	6361	0	0
